mWeb URL,In_App URL,http Status
https://pages.ebay.es/vouchers/REAC/index.html/,https://pages.ebay.es/vouchers/REAC/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.com/promo/2019/0922/REARU.html/,https://pages.ebay.com/promo/2019/0922/REARU_app.html,200
https://pages.ebay.it/promos/2020/private/16589/S2B_may1.html/,https://pages.ebay.it/promos/2020/private/16589/S2B_may1_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.co.uk/vouchers/REAC/index.html/,https://pages.ebay.co.uk/vouchers/REAC/index_app.html,404
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index.html/,https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.com/promo/2020/0521/sneakerscpn.html/,https://pages.ebay.com/promo/2020/0521/sneakerscpn_app.html,200
https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index.html/,https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index_app.html,200
https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index.html/,https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index_app.html,200
https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index.html/,https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index_app.html,200
https://pages.ebay.es/vouchers/REAC/index.html/,https://pages.ebay.es/vouchers/REAC/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.es/vouchers/REAC/index.html/,https://pages.ebay.es/vouchers/REAC/index_app.html,200
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.co.uk/vouchers/REAC/index.html/,https://pages.ebay.co.uk/vouchers/REAC/index_app.html,404
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
